#ID,RA,DEC,RV,RV_err,RAD
NGC5846_S101,226.61525,1.68734,1746,19,4.92
NGC5846_S102,226.63589,1.70514,1922,12,6.03
NGC5846_S103,226.58003,1.66782,1610,15,4.5
NGC5846_S104,226.60113,1.68451,1941,17,4.9
NGC5846_S105,226.62307,1.70199,1805,23,5.78
NGC5846_S106,226.63474,1.71518,1806,18,6.62
NGC5846_S107,226.63384,1.73168,1494,8,7.6
NGC5846_S108,226.58322,1.71312,1600,10,6.86
NGC5846_S109,226.62637,1.74355,1512,56,8.28
NGC5846_S110,226.58511,1.71844,2198,39,7.12
NGC5846_S111,226.59988,1.73073,1829,6,7.62
NGC5846_S112,226.56404,1.70674,1334,18,6.99
NGC5846_S113,226.59652,1.73361,1765,24,7.83
NGC5846_S114,226.59704,1.74533,1576,16,8.52
NGC5846_S115,226.61315,1.62373,1738,32,1.21
NGC5846_S116,226.62632,1.59574,1617,25,0.65
NGC5846_S117,226.61817,1.58723,1495,14,1.13
NGC5846_S118,226.61996,1.5898,1621,20,0.96
NGC5846_S119,226.65609,1.61741,2061,9,2.16
NGC5846_S120,226.65813,1.62304,1678,17,2.4
NGC5846_S121,226.59946,1.58995,1374,27,1.65
NGC5846_S122,226.61442,1.60072,1905,7,0.54
NGC5846_S123,226.6128,1.59979,1803,16,0.65
NGC5846_S124,226.606,1.61856,1717,21,1.23
NGC5846_S125,226.59286,1.61668,1655,23,1.87
NGC5846_S126,226.58414,1.62601,2261,23,2.58
NGC5846_S127,226.54946,1.61096,2050,22,4.36
NGC5846_S128,226.56557,1.62492,2088,15,3.58
NGC5846_S129,226.55401,1.62038,1828,24,4.17
NGC5846_S130,226.54413,1.6257,2061,16,4.82
NGC5846_S131,226.51294,1.6093,1867,15,6.55
NGC5846_S132,226.56889,1.64921,1509,22,4.12
NGC5846_S133,226.5666,1.64804,1572,38,4.19
NGC5846_S134,226.49769,1.6026,1851,26,7.46
NGC5846_S135,226.51067,1.61516,1516,17,6.7
NGC5846_S136,226.46526,1.593,1991,27,9.43
NGC5846_S137,226.49309,1.62056,1328,25,7.78
NGC5846_S138,226.53743,1.65909,1728,11,6
NGC5846_S139,226.42208,1.5883,1466,77,12.04
NGC5846_S140,226.49606,1.64049,1767,16,7.84
NGC5846_S141,226.48371,1.63221,1410,9,8.45
NGC5846_S142,226.47654,1.6517,1928,21,9.15
NGC5846_S143,226.39715,1.62107,1506,56,13.52
NGC5846_S144,226.41008,1.63038,1944,20,12.8
NGC5846_S145,226.628,1.6181,1432,9,0.83
NGC5846_S146,226.64325,1.6222,1553,19,1.62
NGC5846_S147,226.69181,1.53513,1268,17,5.95
NGC5846_S148,226.68988,1.54093,1839,21,5.62
NGC5846_S149,226.67254,1.55273,1444,19,4.39
NGC5846_S150,226.67274,1.56152,1727,31,4.03
NGC5846_S151,226.62346,1.55207,1646,12,3.21
NGC5846_S152,226.62389,1.55516,2328,17,3.03
NGC5846_S153,226.64752,1.57425,2051,15,2.43
NGC5846_S154,226.66367,1.59428,1407,18,2.59
NGC5846_S155,226.67609,1.60612,1892,18,3.24
NGC5846_S156,226.65371,1.59869,2180,16,1.95
NGC5846_S157,226.65759,1.60914,1908,25,2.14
NGC5846_S158,226.65601,1.61128,1728,34,2.07
NGC5846_S159,226.5978,1.62471,1775,18,1.85
NGC5846_S160,226.63059,1.65367,1899,20,2.93
NGC5846_S161,226.60896,1.6669,1625,33,3.76
NGC5846_S162,226.59602,1.66973,1427,15,4.15
NGC5846_S163,226.61164,1.68837,1128,20,5
NGC5846_S164,226.58589,1.67269,1860,16,4.57
NGC5846_S165,226.53952,1.71876,2111,23,8.4
NGC5846_S166,226.61781,1.48868,1581,9,7.02
NGC5846_S167,226.63102,1.5106,1502,14,5.73
NGC5846_S168,226.63986,1.52573,1716,16,4.91
NGC5846_S169,226.63221,1.52166,1801,23,5.07
NGC5846_S170,226.65743,1.55191,1856,12,3.86
NGC5846_S171,226.63428,1.54005,1652,15,4
NGC5846_S172,226.59673,1.52661,1717,30,4.98
NGC5846_S173,226.60512,1.55138,1764,36,3.41
NGC5846_S174,226.61883,1.56382,1839,10,2.52
NGC5846_S175,226.61152,1.58339,1668,45,1.48
NGC5846_S176,226.5936,1.57584,1532,14,2.47
NGC5846_S177,226.5723,1.58644,2301,17,3.2
NGC5846_S178,226.56175,1.57909,1728,23,3.95
NGC5846_S179,226.55524,1.57978,1312,24,4.29
NGC5846_S180,226.54374,1.57313,1373,18,5.08
NGC5846_S181,226.57946,1.59909,1921,15,2.58
NGC5846_S182,226.53832,1.57082,1586,13,5.44
NGC5846_S183,226.5519,1.59374,1791,13,4.27
NGC5846_S184,226.56531,1.62396,1647,26,3.57
NGC5846_S185,226.49543,1.5907,1828,24,7.64
NGC5846_S186,226.51032,1.60346,1451,19,6.7
NGC5846_S187,226.51075,1.62318,1931,22,6.76
NGC5846_S188,226.46439,1.63002,1609,7,9.57
NGC5846_S189,226.58888,1.67693,1906,11,4.72
NGC5846_S190,226.58353,1.67866,1679,5,4.95
NGC5846_S191,226.63035,1.63713,2179,8,1.96
NGC5846_S192,226.645458,1.62675,1353,33,1.89
NGC5846_S193,226.634958,1.642722,1825,30,2.36
NGC5846_S194,226.496,1.647556,1994,36,7.97
NGC5846_S195,226.643417,1.612139,1889,47,1.34
NGC5846_S196,226.686667,1.625139,1955,27,4.05
NGC5846_S197,226.625417,1.632833,1597,26,1.65
NGC5846_S198,226.613833,1.628167,1720,28,1.44
NGC5846_S199,226.631333,1.615306,1707,36,0.81
NGC5846_S200,226.639583,1.582278,2000,16,1.75
NGC5846_S201,226.710375,1.579667,1968,39,5.52
NGC5846_S202,226.684,1.591917,1834,28,3.81
NGC5846_S203,226.636292,1.614611,1488,24,1.01
NGC5846_S204,226.598125,1.596806,1445,21,1.53
NGC5846_S205,226.659,1.575194,1631,23,2.87
NGC5846_S206,226.639125,1.587167,2128,21,1.51
NGC5846_S207,226.661042,1.575611,2157,20,2.95
NGC5846_S208,226.627625,1.628056,1964,13,1.39
NGC5846_S209,226.629708,1.629778,2063,17,1.52
NGC5846_S210,226.5245,1.623806,1623,14,5.95
NGC5846_S211,226.656375,1.573306,1678,10,2.83
NGC4697_S1,192.143875,-5.79983,1351,18,0.34
NGC4697_S2,192.148708,-5.78975,1369,13,0.66
NGC4697_S3,192.207167,-5.76297,1352,15,4.12
NGC4697_S4,192.089,-5.79439,1516,20,3.63
NGC4697_S5,192.109667,-5.81308,1393,22,2.49
NGC4697_S6,192.176542,-5.77508,1207,13,2.23
NGC4697_S7,192.208125,-5.76842,1004,10,4
NGC4697_S8,192.171958,-5.78619,1135,15,1.6
NGC4697_S9,192.114625,-5.81386,1306,9,2.23
NGC4697_S10,192.171958,-5.79953,1089,10,1.34
NGC4697_S11,192.097625,-5.81978,1314,7,3.3
NGC4697_S12,192.132458,-5.83011,1097,9,2.03
NGC4697_S13,192.170292,-5.80636,1152,12,1.29
NGC4697_S14,192.135,-5.80411,1476,9,0.89
NGC4697_S15,192.197042,-5.76769,1218,6,3.46
NGC4697_S16,192.064833,-5.82619,1284,7,5.28
NGC4697_S17,192.178667,-5.78561,1123,6,1.96
NGC4697_S18,192.213083,-5.76361,1238,7,4.4
NGC4697_S19,192.218125,-5.75094,1315,15,5.07
NGC4697_S20,192.056708,-5.80831,1183,12,5.56
NGC4697_S21,192.20688,-5.784453,1085,3,3.56
NGC4697_S22,192.15253,-5.805689,1313,8,0.35
NGC4697_S23,192.13262,-5.788074,1140,4,1.26
NGC4697_S24,192.15045,-5.809329,1248,5,0.52
NGC4697_S25,192.14935,-5.79164,1363,5,0.55
NGC4697_S26,192.14191,-5.796357,1076,7,0.52
NGC4697_S27,192.17029,-5.806362,1153,5,1.29
NGC4697_S28,192.19697,-5.789748,1158,5,2.91
NGC4697_S29,192.17876,-5.776856,1308,6,2.26
