u,g,r,i,z,ra,dec,flags_r
20.82983,18.7542,17.79472,17.45782,17.21491,10.0060582872754,13.7566891105823,4503599895838720
21.01942,19.89312,19.41451,19.19014,19.10464,10.1587600909974,13.8914403991606,4503874840854600
23.49687,23.91802,22.02924,20.7527,19.98241,10.3543511467772,13.8541793594945,4503874907930624
23.68435,22.17338,21.15921,20.84215,21.05779,10.1963058263818,13.8022072205317,4503874782134544
20.92891,19.80188,19.18794,18.94933,18.84277,10.035720040724,13.6946961587373,4503874773876736
23.88955,23.20298,22.36688,22.53137,21.72717,10.0022405353845,13.8259160682146,4503600038412288
23.77877,22.46165,21.17968,19.97006,19.40628,10.0569821925658,13.8501510351768,4503874849243208
25.6797,22.9584,21.44663,19.79715,18.94836,10.0400187768614,13.8955499660176,4503599895805952
23.41386,23.4815,22.05935,21.95232,21.34547,10.1285297956867,13.8864344570208,4503874773712896
24.57975,23.0881,21.95151,20.508,19.59374,10.3542836853994,13.7824408994775,4503599895805952
22.28967,19.69374,18.17076,17.43537,16.99583,10.1485210235963,13.7381987471692,4503599895838744
25.50271,23.26971,21.91033,20.41084,19.41573,10.0321525284136,13.7403479985171,4503600097132616
21.61041,20.84503,20.38342,20.24796,20.16423,10.4430538201004,13.8431687187618,4503874782134272
20.05363,19.15205,18.75844,18.61321,18.57644,10.0788175085507,13.833419115989,4503599895838720
21.4718,20.45772,20.04808,19.74885,19.74659,10.1584103847715,13.8477180812578,4503874773745664
22.74846,19.80317,18.5364,18.00885,17.69836,10.1823550545266,13.7609910195999,4503599895838720
23.96003,22.88272,21.7774,21.63195,21.11286,10.0467997797207,13.8383746507879,49539871047417872
20.7849,19.65411,18.9914,18.75005,18.56865,10.122738479167,13.769042484805,4503874773745664
25.55198,23.78534,21.80138,20.31168,19.41046,10.0355866815084,13.7972608609313,4503874773712896
25.12361,23.04613,21.14334,20.18399,19.93715,10.1280588027522,13.8399782446643,4503874773745664
21.37571,21.2152,20.92079,20.82383,20.97687,10.5216109250605,13.739706768445,4503874773745664
24.97383,24.43919,22.50963,20.99383,20.72457,10.0510228446967,13.7187403584683,4503599895805952
23.55466,23.25913,22.40397,22.80487,22.40376,10.0361263368457,13.8044504862149,4503599904195072
22.76258,22.77827,22.10954,22.22564,22.90325,10.1222493260094,13.8266645399088,4503874773712896
22.68299,21.1134,20.33148,19.99705,19.81563,10.0996263052486,13.7705595075445,4503874773712896
24.62711,21.86641,20.326,19.41627,18.94509,10.0658918728259,13.7550506993267,4503874773746192
23.41834,20.57198,18.98174,17.99541,17.44032,10.1822491731006,13.7359475129688,4503599912615936
23.78119,23.08469,21.80834,20.00689,18.98587,10.0429212865103,13.8533864861651,2310346883987406864
17.07692,15.61592,14.98341,14.73513,14.62142,10.0422371743751,13.7177438944091,4503599921005056
25.02377,22.43292,20.97541,19.63098,18.81777,10.0693931742452,13.7264318424166,4503874773745664
24.22738,22.66005,21.07599,19.77378,19.04294,10.4428095051227,13.8369567632079,4503599895838720
23.70562,22.11984,20.68559,20.13351,19.90514,10.0234160226105,13.8572472365252,4503874773745664
21.22519,18.41209,16.89676,16.07533,15.62506,10.1901723067514,13.8045421685773,4503599895838720
25.89323,22.79268,21.26215,19.78143,19.03637,10.0390798293625,13.8369717119762,4503874773745664
18.40388,17.20035,16.70437,16.52305,16.44924,10.0140284955943,13.8695808123746,4503599921005056
22.54762,21.30371,20.72247,20.37587,20.37979,10.1235756235758,13.8334499288915,4503874773745664
23.66943,24.11777,22.59374,22.37155,21.30301,10.0316145293464,13.8830066644111,4503600038445056
22.48143,20.39037,19.61245,19.29586,19.1164,10.163048682524,13.7785046498466,4503874773745664
20.82949,19.90062,19.47633,19.34605,19.18005,10.1038673851168,13.709460867925,4503874773745664
23.61232,22.48912,20.74466,20.08654,19.76953,10.0193067322503,13.8149475800537,4503874773745664
22.78902,19.83969,18.55489,18.05541,17.79454,10.026764142455,13.8198678077674,4503599895838720
26.29501,24.1937,22.20704,20.93362,19.88298,10.0094738278059,13.882333012414,4503874907930640
23.82066,23.50937,22.68602,23.50284,21.79277,10.0217752677579,13.6988823603141,4503599904194816
23.95099,20.20264,18.7202,17.96405,17.52415,10.137535753586,13.871418457126,4503599895838720
25.20634,20.95152,19.68351,19.11051,18.78876,10.2322177567434,13.8325355174998,4503874773745664
22.46028,22.43103,22.19324,22.57072,22.74112,10.0529380969291,13.74713281036,4503874907930624
23.56945,22.42247,21.3535,20.74321,20.54219,10.0475317405216,13.736043554354,4503874773712896
20.9304,19.8653,19.5061,19.30254,19.15063,10.1639535710494,13.7922950043106,4503874773745664
