Line_number2,objID,ra,dec,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,specObjID,Redshift
432,1237650762396925975,194.563418581677,-1.98852877776243,STAR,17.69616,17.55738,17.63554,17.63182,17.42499,380685863450863616,0.4115257
435,1237650762396926127,194.625783301237,-1.97650951736529,GALAXY,17.73869,16.54081,15.96123,15.56554,15.39161,380686138328770560,0.08033109
446,1237650762924097607,172.47000161974,-1.52454581043047,STAR,18.43728,18.09036,18.20014,18.09663,18.01021,367201189395195904,0.4841043
451,1237650762933862694,194.722019991613,-1.59165477495333,GALAXY,19.88692,18.02619,17.11221,16.71365,16.36723,380700157102024704,0.0865811
460,1237650796216123656,137.30170678377,0.0393918450649824,GALAXY,18.89685,18.59551,18.05606,17.7977,17.34248,529182609306052608,0.2936349
460,1237650796216123656,137.30170678377,0.0393918450649824,GALAXY,18.89685,18.59551,18.05606,17.7977,17.34248,531511650247796736,0.2938113
461,1237650796216123547,137.350046447609,0.0364060166507569,STAR,16.86723,16.76446,16.67789,16.41655,16.3668,529183159061866496,1.873142
461,1237650796216123547,137.350046447609,0.0364060166507569,STAR,16.86723,16.76446,16.67789,16.41655,16.3668,4298713424928108544,1.870605
466,1237650804263420211,142.089510752072,-2.05713762293,STAR,20.44712,20.08375,19.89162,19.90232,19.60495,4257057322549571584,0.8845094
501,1237650805344108610,157.965674198401,-1.5992291518258,STAR,20.34759,19.56054,19.58381,19.52648,19.27683,4261741792343027712,2.299117
501,1237650805344108610,157.965674198401,-1.5992291518258,STAR,20.34759,19.56054,19.58381,19.52648,19.27683,4261747839120109568,2.298864
511,1237651799624843466,153.125576787011,-1.12858162681765,STAR,19.90385,19.18537,18.79027,18.6854,18.44678,4243768075210125312,3.232932
512,1237651799624843474,153.148710117681,-1.1397793131351,STAR,19.84221,19.3274,19.25933,19.30052,19.17024,4243766975698497536,0.8635133
516,1237651799624843486,153.166164830018,-1.10632904846254,GALAXY,19.32363,17.55207,16.51838,15.93429,15.51445,304027366613608448,0.09686861
518,1237654668663259579,153.214267851767,-1.25738032567588,GALAXY,23.405,21.43176,20.09804,19.22437,18.73519,4243768350088032256,0.4401036
520,1237651799624974746,153.392484795249,-1.1294490541253,STAR,21.62291,20.96848,20.81539,20.49268,20.03679,4243778795448496128,0.6860473
524,1237651189747613879,133.134829058519,51.4037113639653,GALAXY,19.14701,17.03106,15.93833,15.47723,15.11245,503280588384397312,0.1249437
531,1237651190283632892,130.715880908618,50.2487732739976,STAR,20.41712,19.91144,19.94105,19.88855,19.58923,4162459191174950912,0.7790341
538,1237651190286188701,137.629081143531,54.394697588663,GALAXY,16.7763,15.94299,15.61118,15.49098,15.38323,506668184229668864,0.01299826
539,1237651190286188711,137.5464315152,54.4565425613199,STAR,17.65954,17.27523,17.3353,17.24387,17.32554,6449184184598196224,0.6219608
541,1237651190286188881,137.586637263789,54.3141189435761,STAR,21.45207,20.3543,20.12578,20.07157,20.05079,6449174014115639296,2.795693
542,1237651190286188891,137.498346252554,54.3945459500593,GALAXY,21.6672,20.88522,20.07679,19.47199,19.19578,6449183359964475392,0.5320542
543,1237651190286188894,137.579023776938,54.3438743291296,GALAXY,21.45443,20.94023,20.5026,20.08777,19.89201,6449175113627267072,0.5254121
550,1237651190286254212,137.62097673719,54.4552751397418,STAR,18.84672,18.59199,18.72187,18.58667,18.44456,506667084718041088,0.5257142
553,1237651190286254418,137.778653735715,54.4200260788829,STAR,21.12693,20.83319,20.69277,20.61619,20.03507,6449171540214476800,0.8833351
554,1237651190286254482,137.519352632714,54.5021012251025,STAR,23.22638,22.94987,21.57786,21.28128,21.11151,6449183634842382336,1.065147
559,1237651190818472525,125.495646639937,47.0482446570277,GALAXY,23.36435,22.78344,21.37811,20.23062,19.53922,4157066359773786112,0.6744354
559,1237651190818472525,125.495646639937,47.0482446570277,GALAXY,23.36435,22.78344,21.37811,20.23062,19.53922,8247365639263154176,0.6742913
562,1237651190820831364,130.996406427661,51.0902707125294,GALAXY,18.45134,16.72029,15.64619,15.20736,14.81102,503357554198341632,0.1263436
563,1237651190820831480,130.97570030314,51.0834813816904,STAR,21.37849,20.76877,20.68793,20.70307,20.18859,5806344534040965120,0.7798633
564,1237651190820896782,131.055489674076,51.2164854883556,STAR,20.61149,20.30895,20.31404,20.89246,20.67767,5806332439413059584,0.859031
565,1237651190820896924,131.119835161127,51.2423795965969,STAR,19.51602,19.7476,19.15109,19.173,19.14182,503347383715784704,1.247373
567,1237651191350296775,116.072795939987,37.8881172477215,STAR,18.44413,18.17947,17.85272,17.88782,17.97078,487564443987765248,1.065505
570,1237651191350296845,116.035032931395,37.978095812392,STAR,18.5686,18.3112,18.13694,18.09693,17.92123,487567467644741632,0.8799175
571,1237651191350296932,116.143597876839,37.8108841480424,GALAXY,20.04763,18.23938,17.29839,16.7604,16.35647,487567192766834688,0.09786648
600,1237673704505671747,118.934890271827,41.2039351006595,GALAXY,17.59704,15.42659,14.45374,13.96417,13.68966,489913275853596672,0.07425812
