Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC6541,5,272.009833,-43.714889,-8.5,2.09E+05,2.2,8.2
NGC6553,5,272.315333,-25.90775,-7.8,3.16E+05,1.8,
IC1276,5,272.684417,-7.207583,-6.7,1.26E+05,3.7,
NGC6569,5,273.412,-31.826444,-8.3,2.82E+05,2.5,
NGC6584,5,274.656667,-52.215778,-7.7,1.05E+05,2.8,
NGC6638,5,277.734375,-25.496417,-7.1,1.32E+05,1.4,
NGC6637,5,277.84625,-32.348083,-7.6,2.46E+05,2.2,
NGC6652,5,278.940125,-32.990722,-6.7,5.75E+04,1.4,
NGC6656,5,279.09975,-23.90475,-8.5,3.63E+05,3.1,7.8
NGC6712,5,283.268,-8.705972,-7.5,1.70E+05,2.7,4.3
NGC6715,5,283.763875,-30.479861,-10,1.95E+06,6.4,10.5
NGC6723,5,284.888125,-36.63225,-7.8,1.91E+05,3.9,
NGC6760,5,287.80025,1.030472,-7.8,2.75E+05,2.7,
NGC6779,5,289.148208,30.183472,-7.4,1.48E+05,3.2,4
Terzan7,5,289.433,-34.657722,-5,5.50E+04,5.2,
Pal10,5,289.50875,18.571667,-5.8,5.50E+05,4.2,
NGC6809,5,294.998792,-30.96475,-7.6,9.77E+04,4.4,4
Pal11,5,296.31,-8.007222,-6.9,5.01E+05,5.5,
NGC6864,5,301.520171,-21.922261,-8.6,4.47E+05,2.8,10.3
NGC6934,5,308.547375,7.404472,-7.4,1.59E+05,3.1,5.1
NGC6981,5,313.365417,-12.537306,-7,1.00E+05,4.6,
NGC7006,5,315.372771,16.187914,-7.7,1.59E+05,5.3,
NGC7089,5,323.362583,-0.82325,-9,6.92E+05,3.6,8.2
Pal12,5,326.661833,-21.252611,-4.5,5.62E+03,9.5,
NGC7492,5,347.111167,-15.611472,-5.8,2.75E+04,8.6,1.2
AU010,5,10.742179,41.281242,-7.6,1.24E+05,2,8
B005-G052,5,10.084663,40.732864,-9.3,1.15E+06,2.3,17.3
B006-G058,5,10.110367,41.457419,-9.4,1.18E+06,1.9,13.2
B008-G060,5,10.126204,41.269092,-8.6,3.10E+05,3.2,7.6
B010-G062,5,10.131525,41.239594,-8.4,2.70E+05,6.7,6.7
B012-G064,5,10.135275,41.362286,-9.8,1.00E+06,3.6,20.4
B013-G065,5,10.16015,41.423256,-7.8,2.05E+05,6.5,5
B017-G070,5,10.202983,41.202003,-9.9,1.32E+06,3.1,13.2
B019-G072,5,10.218871,41.314836,-10.2,1.91E+06,2.7,19.3
B020-G073,5,10.230254,41.69035,-9.7,1.63E+06,3.2,16.9
B020D-G089,5,10.321825,41.135886,-8.5,2.35E+05,2.8,7.6
B021-G075,5,10.245837,41.094189,-8.4,3.40E+05,2.9,5.7
B023-G078,5,10.254946,41.229386,-11.4,6.79E+06,3.5,33
B025-G084,5,10.302337,41.007828,-8.8,3.56E+05,1.7,10
B026-G086,5,10.310646,41.411164,-7.8,2.35E+05,2.4,5.4
B027-G087,5,10.310525,40.930814,-9.4,7.98E+05,3,13.6
B028-G088,5,10.318679,40.98425,-8.2,2.52E+05,2.4,6.7
B029-G090,5,10.324342,41.006344,-8.6,6.48E+05,5,7.1
B030-G091,5,10.328025,40.954342,-9.1,6.63E+05,2,8.9
B031-G092,5,10.337167,40.984508,-7.7,2.05E+05,1.8,6.4
B034-G096,5,10.367138,40.897117,-9.5,1.32E+06,2.2,14.3
B035,5,10.385775,41.642417,-7.6,1.83E+05,1.3,6.9
B036,5,10.3868,41.434775,-7.9,2.15E+05,1.9,6.6
B037-V327,5,10.395821,41.248661,-10.7,6.34E+06,4.1,21.2
B038-G098,5,10.399821,41.320808,-9.2,4.28E+05,1.9,12.9
B039-G101,5,10.407838,41.347261,-10.1,1.59E+06,2.8,15.4
B042-G104,5,10.423625,41.123969,-10.7,2.05E+06,2,24.9
B045-G108,5,10.429617,41.572219,-9.2,8.35E+05,2.9,10.6
B045D,5,10.541158,41.354033,-6.8,7.44E+04,1.2,2.6
B050-G113,5,10.442779,41.538467,-8.5,3.48E+05,1.7,8.9
B056-G117,5,10.46315,40.961128,-7.9,4.49E+05,1.9,6.9
B057-G118,5,10.470138,40.867981,-7.2,9.16E+04,2.7,6
B058-G119,5,10.470867,40.786014,-9.9,1.35E+06,2.3,23
B060-G121,5,10.487525,41.087333,-8.2,2.52E+05,1.8,8.2
B063-G124,5,10.503633,41.485981,-10.1,2.15E+06,2.4,18.2
B065-G126,5,10.508062,40.670278,-8.1,2.00E+05,2.7,6.5
B067-G129,5,10.513204,41.073228,-7.5,1.18E+05,3.5,8.2
B068-G130,5,10.513363,40.980592,-9.4,1.21E+06,2.6,11.7
B070-G133,5,10.528721,41.132336,-8.3,1.49E+05,2.5,10.6
B073-G134,5,10.530487,40.989211,-8.9,7.62E+05,1.4,12
B074-G135,5,10.533504,41.722672,-8.3,2.64E+05,2.9,7.1
B076-G138,5,10.542704,41.089458,-8.2,2.58E+05,2.1,9.3
B080-G141,5,10.551538,41.316914,-9,5.27E+05,3.7,7
B082-G144,5,10.565983,41.020633,-11.3,4.49E+06,2.8,28.2
B083-G146,5,10.5685,41.755767,-8.5,1.79E+05,5.6,4
B085-G147,5,10.576008,40.665872,-8.1,2.00E+05,2.5,7.5
B086-G148,5,10.577721,41.233925,-9.8,9.59E+05,3,20.8
B087D,5,10.745538,41.152453,-7.3,2.30E+05,2.1,6.6
B088-G150,5,10.587762,41.537278,-10.5,1.71E+06,3.9,17.1
B090,5,10.587983,41.04935,-6.2,1.03E+05,1.8,5.7
B091D-D058,5,10.756025,41.504764,-9.8,1.52E+06,1.3,20.9
B093-G155,5,10.596392,41.362103,-8.8,4.81E+05,2.7,8.5
B094-G156,5,10.604346,40.954892,-9.5,1.29E+06,1.9,12.9
B095-G157,5,10.60775,41.093408,-9.7,1.05E+06,3,10.5
B096-G158,5,10.608667,41.320775,-9.8,1.08E+06,1.6,13.7
B097-G159,5,10.614396,41.425606,-8.7,4.09E+05,1.9,9.3
B098,5,10.614146,40.993294,-8.8,5.03E+05,1.2,11.5
B103-G165,5,10.623879,41.299339,-10.4,2.20E+06,2.3,18
B104-NB5,5,10.624883,41.290433,-7.6,1.00E+05,4,6.7
B107-G169,5,10.630229,41.327464,-9.3,8.55E+05,2.8,19.1
B109-G170,5,10.634029,41.174408,-8.5,8.35E+05,2.3,9.5
B110-G172,5,10.637937,41.057878,-9.6,1.56E+06,2.2,21.2
B111-G173,5,10.638213,41.007317,-8.3,2.30E+05,1.9,10.2
B112-G174,5,10.638513,41.295106,-8.3,1.10E+06,2.2,11.4
B114-G175,5,10.642929,41.212514,-7.5,4.00E+05,1.6,3.9
B115-G177,5,10.64335,41.233853,-8.7,1.32E+06,1.8,13.6
B116-G178,5,10.643933,41.547547,-9.9,1.29E+06,1.8,16.8
B117-G176,5,10.6433,40.952514,-7.8,2.77E+05,3,10
B119-NB14,5,10.650338,41.293164,-7.6,2.64E+05,5.1,6.6
B123-G182,5,10.669446,41.175919,-7.3,1.87E+05,1.8,7.4
B124-NB10,5,10.672667,41.256572,-9.9,3.18E+06,1.6,27.4
B125-G183,5,10.676083,41.091931,-8.3,3.10E+05,3.8,9.5
B126-G184,5,10.682004,41.211861,-7.7,1.56E+05,2.3,8
B127-G185,5,10.685408,41.244836,-10.4,3.48E+06,2.6,24.2
B128-G187,5,10.69915,41.187153,-8.2,3.65E+05,1.8,9.3
B130-G188,5,10.703596,41.497903,-9,4.09E+05,2.9,10.6
B131-G189,5,10.711671,41.285422,-9.6,1.10E+06,1.8,19.2
B134-G190,5,10.715325,41.234283,-8.2,3.65E+05,6.3,8
B135-G192,5,10.716596,41.518878,-9.4,7.11E+05,2.4,16.8
B138,5,10.731729,41.309678,-8.2,4.00E+05,0.7,11.7
B140-G196,5,10.744796,41.147975,-7.2,2.25E+05,3.8,4.7
B141-G197,5,10.747013,41.546494,-8.6,3.03E+05,3.7,8.4
B143-G198,5,10.748546,41.322025,-8.9,8.75E+05,1.4,13.8
B144,5,10.749429,41.268208,-8.4,7.44E+05,1.4,10.9
B146,5,10.762171,41.256253,-8,3.65E+05,2.5,8.9
B147-G199,5,10.763779,41.355981,-8.9,1.13E+06,2.3,10.8
B148-G200,5,10.7661,41.301311,-9.6,6.95E+05,1.9,17
B149-G201,5,10.772792,41.574197,-8.6,3.82E+05,3.8,10.3
B150-G203,5,10.781317,41.33875,-8.4,6.34E+05,2.1,9.3
B151-G205,5,10.789821,41.358886,-10.8,4.00E+06,2.9,26.9
B152-G207,5,10.791733,41.304386,-8.9,7.62E+05,2.3,10.3
B153,5,10.794254,41.247586,-9,7.27E+05,1.4,16.3
B154-G208,5,10.801896,41.268022,-8.3,3.82E+05,3.2,7.3
B155-G210,5,10.805842,41.057839,-6.9,1.59E+05,1.1,6.5
B158-G213,5,10.810025,41.122578,-10.2,2.30E+06,2.2,25.5
B161-G215,5,10.814233,41.190319,-8.7,4.09E+05,2.2,11.1
B162-G216,5,10.818375,41.401236,-7.9,3.73E+05,2.5,5.8
B163-G217,5,10.8235,41.462475,-10.1,2.96E+06,2,21
B164-V253,5,10.825683,41.208153,-7.4,1.91E+05,1.7,6.3
B165-G218,5,10.8259,41.181878,-8.5,2.41E+05,3.3,8.4
B167,5,10.838017,41.235592,-7.7,1.52E+05,1.1,8.4
B168,5,10.843858,41.734878,-8.4,5.39E+05,2.2,10.1
B169,5,10.845837,41.257042,-8.5,3.56E+05,1.6,8
B170-G221,5,10.847867,40.844875,-7.7,1.79E+05,1.7,6
B171-G222,5,10.856687,41.260314,-9.8,1.83E+06,2.2,16.9
B174-G226,5,10.876262,41.648931,-9.9,1.42E+06,5.1,14.9
B176-G227,5,10.876992,40.819694,-8,2.64E+05,6,6.4
B177-G228,5,10.877129,41.095092,-6.7,7.11E+04,1.2,4.9
B179-G230,5,10.879629,41.304067,-9.4,9.16E+05,2.7,13.3
B180-G231,5,10.882221,41.129542,-8.8,5.39E+05,2.1,10.5
B181-G232,5,10.885233,41.485314,-7.9,3.48E+05,2.2,7.3
B182-G233,5,10.9028,41.136711,-10.1,1.35E+06,2.6,20
B183-G234,5,10.903908,41.033981,-9.1,8.35E+05,2.6,10.3
B185-G235,5,10.905358,41.245433,-9.5,1.10E+06,1.9,15.2
B187-G237,5,10.910938,41.496347,-8.3,2.90E+05,3.1,6.5
B190-G241,5,10.930779,41.568267,-8.3,2.70E+05,2.2,8.1
B193-G244,5,10.939596,41.615967,-9.8,1.87E+06,1.9,18.5
B194-G243,5,10.938304,41.102425,-7.8,1.42E+05,1.7,7.7
B196-G246,5,10.952388,40.710239,-7.8,1.45E+05,3.3,5
B199-G248,5,10.957604,40.970806,-7.3,1.03E+05,3.1,4.8
B201-G250,5,10.970179,41.166078,-8.6,5.15E+05,4.9,7.3
B202-G251,5,10.977767,41.008992,-7.3,9.81E+04,3,4.8
B203-G252,5,10.982646,41.543114,-8.3,3.03E+05,3.4,6.4
B206-G257,5,10.994242,41.504992,-9.7,1.26E+06,3.1,16
B208-G259,5,11.000279,41.386567,-7.1,1.71E+05,4.5,5.2
