Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC4425,EsS0s,186.805664,12.734803,-19.2,1.38E+10,1786.7,83.4
NGC4429,EsS0s,186.860657,11.10754,-21.4,1.47E+11,3917.9,195.9
NGC4434,EsS0s,186.902832,8.154311,-19.6,1.62E+10,1580.6,130.6
NGC4435,EsS0s,186.918762,13.079021,-20.9,4.11E+10,1902.4,163.7
NGC4442,EsS0s,187.01622,9.80362,-20.7,6.56E+10,1767.1,194.1
NGC4452,EsS0s,187.18042,11.755,-19,1.82E+10,1366.8,59
NGC4458,EsS0s,187.239716,13.241916,-18.9,9.23E+09,1707.7,107.6
NGC4459,EsS0s,187.250107,13.97858,-21,7.00E+10,3360.5,178.6
NGC4461,EsS0s,187.262543,13.183857,-20.2,3.40E+10,1815.8,148.9
NGC4472,EsS0s,187.444992,8.00041,-22.9,5.96E+11,8661.1,288.4
NGC4473,EsS0s,187.453659,13.42932,-20.9,6.12E+10,2204.3,193.6
NGC4474,EsS0s,187.473099,14.068673,-19.4,1.47E+10,1617,92
NGC4476,EsS0s,187.49617,12.348669,-18.9,7.26E+09,1422.6,71.4
NGC4477,EsS0s,187.509048,13.636443,-20.8,6.67E+10,3516.1,171.4
NGC4478,EsS0s,187.572662,12.328578,-19.9,3.71E+10,1300.2,144.5
NGC4483,EsS0s,187.66925,9.015665,-18.9,9.55E+09,1459.8,92.5
NGC4486,EsS0s,187.705933,12.3911,-22.5,4.83E+11,6578.1,314.1
NGC4486A,EsS0s,187.74054,12.270361,-18.9,1.55E+10,763.9,143.2
NGC4489,EsS0s,187.717667,16.758696,-18.7,2.48E+09,1694.7,64.9
NGC4494,EsS0s,187.850143,25.774981,-21.2,8.04E+10,3764.3,154.2
NGC4503,EsS0s,188.025803,11.176434,-20.3,4.88E+10,2249.4,147.9
NGC4521,EsS0s,188.198853,63.939293,-21,1.10E+11,2833.8,176.6
NGC4526,EsS0s,188.512619,7.69914,-21.7,1.75E+11,3239.1,235
NGC4528,EsS0s,188.525269,11.321266,-19.1,1.32E+10,887.6,110.7
NGC4546,EsS0s,188.87294,-3.793227,-20.4,5.73E+10,1476.7,221.3
NGC4550,EsS0s,188.877548,12.220955,-19.4,1.69E+10,1177.4,94.2
NGC4551,EsS0s,188.908249,12.26401,-19.3,1.83E+10,1344,99.5
NGC4552,EsS0s,188.916183,12.55604,-21.4,1.36E+11,3142.2,261.8
