objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,snMedian,clean,h_m_2mass,j_m_2mass,k_m_2mass,classification,w1mag,w2mag,w3mag,w4mag
1237648720694149221,180.72333725821,-0.438996923566821,0.003524051,0,0.004749048,0.0009935594,16.72082,15.84823,15.63637,15.55169,15.56149,1.209135,0.6211075,52.70299,1,14.588,14.8,14.43,6,14.463,14.361,12.06,8.534
1237676305095196758,72.1087767128323,-4.02693711014562,0.0368927,1,0.03734894,0.0003031394,18.65317,16.82665,16.03448,15.71675,15.5417,1.728876,0.8668262,76.11585,1,14.013,14.527,13.853,6,13.855,13.784,12.169,10.639
1237673756574876133,101.425784289749,27.8915415573182,1.808239E-05,1,0.0002128178,0.0002185237,16.26662,15.16742,14.81736,14.71002,14.67168,0.9445153,0.492223,49.75804,1,13.649,13.831,13.389,6,13.53,13.578,11.686,9.25
1237663531324932590,110.420075523659,37.3567893639646,0.004964064,0,0.005256245,0.0002405643,19.24451,17.72077,17.01088,16.72742,16.55616,1.087813,0.5552601,54.02682,1,15.132,15.594,14.954,6,14.845,14.821,12.1,8.205
1237674371287941262,117.342381218565,18.1153457580586,0,1,0,0.00078447,17.32988,16.3138,15.96524,15.83848,15.79662,1.172016,0.6064391,62.74722,1,14.785,15.01,14.704,6,14.732,14.704,12.079,8.133
1237661086415650903,117.046922641678,18.6401571093816,0.0008205941,0,0.0003621411,0.0003210882,19.10408,17.89505,17.45437,17.30984,17.25259,1.119698,0.5673152,28.43067,1,16.093,16.488,16.73,6,15.996,15.485,12.182,9.157
1237667429012865126,125.014930867897,13.4795620736236,0.0007273688,1,0.001633465,0.0005406118,18.40009,17.5167,17.24461,17.1438,17.13316,1.093539,0.5537575,41.53243,1,16.448,16.223,15.763,6,15.177,15.929,12.206,8.246
1237654391106306182,126.137190729889,45.295673881099,0.006050569,0,0.007127736,0.0002368612,18.97224,18.03348,17.76921,17.65144,17.59998,1.28279,0.6488887,30.7667,1,17.759,16.531,16.051,6,15.982,15.853,12.359,8.278
1237667211042029810,126.011021713159,16.1264683922997,0.1053509,1,0.1396108,0.0002740651,17.98278,16.88125,16.53221,16.43268,16.39087,1.032927,0.5224667,69.59883,1,15.497,15.629,15.424,6,15.194,15.485,12.053,8.196
1237663530259316857,124.7872481113,53.0619668020309,0,0,2.839919E-06,0.0003069756,18.28463,17.33543,17.05237,16.99465,16.98012,1.347481,0.6737512,38.34817,1,15.845,16.232,15.613,6,15.709,15.515,11.835,8.697
1237660937164750872,131.043838167415,55.9903914316897,0.0188971,1,0.0206704,0.0004424929,18.60906,17.59003,17.18188,16.99797,16.92853,1.216967,0.6176112,36.87054,1,15.724,16.058,15.638,6,15.266,15.268,11.859,8.47
1237671261199007753,134.069285585875,11.16764207633,0.02820606,0.8792573,0.03821738,0.0002824328,17.22469,16.08764,15.62113,15.4596,15.41786,1.111527,0.5695986,36.14183,1,14.23,14.597,14.178,6,14.022,14.061,11.625,8.042
1237661381695701022,139.085595998048,31.0884027441848,0.05389294,1,0.06133166,0.0008226836,18.79742,17.78608,17.49108,17.35106,17.35752,1.142627,0.5788277,35.9796,1,16.097,16.857,15.439,6,16.647,15.805,12.254,8.376
1237664670039736354,139.256349188863,31.6295763454003,0.06011868,1,0.115364,0.0004284709,17.49602,15.92934,15.31442,15.05172,14.92076,1.489565,0.7485932,62.1335,1,13.474,13.948,13.401,6,13.361,13.451,12.36,8.549
1237661136880468159,139.509785638837,31.7383566383529,0.06374415,1,0.1093026,0.0003701964,19.34198,17.9806,17.43898,17.22694,17.16348,1.803875,0.8716119,32.55582,1,15.897,16.269,15.34,6,15.77,15.476,12.251,8.118
1237667293729521757,146.447843251462,22.742501644766,0.02944495,0,0.04371845,0.0007661243,17.81454,16.63941,16.62886,16.67718,16.7157,1.329434,0.6834213,32.35684,1,15.989,16.074,16.075,6,15.885,16.103,12.328,8.451
1237671166170693766,170.012175624264,-12.9808436471381,0.06431314,1,0.07027606,0.000319238,18.82598,17.7784,17.34097,17.15958,17.11383,1.830674,0.915517,26.75873,1,16.038,16.309,15.505,6,15.867,15.826,12.341,8.468
