objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,theta,effective50_radius,Surface_area_logged,veldisp,vdisp_median,vdisp_median1,Ports_passive_mass,GranadaFSPS_mass,WiscBC03_mass,Wiscm11_mass,Flux_OIII_5006,Flux_Hb_4861,Flux_NII_6583,Flux_Ha_6562,Flux_SII_6716,Flux_SII_6730,Flux_OI_6300,snMedian,bpt,clean
1237668298203922569,184.555981785243,20.0769073801514,2.847556,1,1.535812,0.04570264,18.91954,17.63602,17.17834,16.9447,16.79469,5.669744,2.409188,2.847556,2.879236,1.41570423285765,0,89.1597819328308,67.408766746521,9.75,9.44585666499633,9.40531702284352,9.45795705213095,18.38694,18.99318,29.03032,76.40778,27.02222,20.2989,7.190175,13.78371,Star Forming,1
1237655126083240130,185.101251950615,5.57286481022259,17.68191,0.3503868,9.203074,0.003126579,16.07089,14.35892,13.53308,13.09908,12.79662,18.62023,8.250054,12.17395,0.8421013,0.347878494584425,71.95128,99.6016025543213,82.1841311454773,9.21,9.27601657723818,9.47079828256392,9.43010982839041,1026.36,2920.955,1112.197,2246.057,381.9078,259.607,90.35324,33.55523,Star Forming,0
1237665440975224856,185.175373414904,29.345868246359,29.67075,0.1626429,23.49393,0.002123314,15.24991,13.87052,13.27699,12.95651,12.82025,41.97605,19.9232,24.49855,1.150849,0.619186280228827,43.60585,88.6737728118896,70.5417668819427,8.57,8.43193489005457,8.60917108619469,8.58921051151265,52.11874,91.55333,98.96089,164.1174,49.10153,40.65042,18.41708,17.4089,Composite,1
1237662236930474097,187.066379880716,9.43631674325816,29.66634,0,20.12624,0.001153956,15.25994,13.72377,12.9696,12.54309,12.22112,45.12414,18.91512,20.12624,0.5138254,-0.0812190516594661,15.20512,83.5102844238281,67.1866297721863,8.29,8.57565015724929,8.41492490075507,8.46661773644155,148.4162,378.5096,539.3564,793.9058,197.5737,140.2964,93.38174,23.19573,Composite,0
1237662236931784840,190.141112554856,9.4578956667215,1.87586,0.7355694,1.472435,0.02776959,18.40924,17.21305,16.5999,16.30791,16.04334,3.6216,1.679344,1.769182,1.08694,0.56956106031551,69.77838,176.813249588013,114.391379356384,9.51,9.65360365327592,9.51144248523633,9.53462041916646,327.8671,595.062,981.4565,2062.786,294.3089,242.4277,18.31231,19.21966,Star Forming,1
1237671264962150496,192.491112051916,5.31141006832291,29.68331,0.2162884,28.44264,0.002161592,13.23349,12.1572,11.73626,11.54021,11.3885,53.92235,26.91205,28.71099,1.373048,0.772520962900116,24.18567,86.1417078971863,67.3796880245209,9.11,8.77065884839246,9.07031845895108,9.05514896808018,101.7934,130.3376,146.9646,304.4674,119.8834,81.35027,35.67859,32.60269,Composite,1
1237661967434121326,197.317054251743,41.913727136789,5.682342,0,2.36734,0.02921733,19.34401,18.02788,17.48667,17.25441,17.01544,5.06976,2.427412,2.36734,1.530259,0.866679606995788,41.53505,98.7406873703003,86.3179087638855,9.19,8.96274054748008,9.21775915054968,9.20527883867544,25.77706,29.32556,25.22445,69.1152,14.77757,16.31214,3.865522,8.769627,Star Forming,1
1237665442590490756,197.529577052971,30.0155781842444,1.194297,0.695114,1.085327,0.03541255,20.01613,18.35212,17.54261,17.08166,16.72002,2.727281,1.297586,1.161074,0.9096631,0.414910977561073,76.78059,106.512260437012,73.3479690551758,9.52,9.8257747201031,9.7143523288978,9.74067159970582,201.4606,440.8701,740.7175,1425.163,282.247,206.0994,80.85579,14.81659,Star Forming,1
1237662224609640475,200.485063446136,38.734727948721,29.6682,0.2138911,42.34657,0.003265379,14.02541,12.75718,12.26717,12.11978,12.20903,84.86597,36.1731,39.63478,2.863345,1.41089718397107,48.75053,89.3247437477112,77.9510998725891,9.18,8.93201452830547,9.23878232149582,9.0690084619273,43.92569,56.36442,61.83896,147.9652,48.43655,34.69782,11.46814,25.717,Star Forming,0
1237665330932154434,201.384768742783,31.8925540213984,1.024928,1,0.9599246,0.03789645,18.20826,17.52325,17.16056,16.91021,16.76375,3.269037,1.473855,1.024928,0.8593212,0.365460871837887,41.48477,369.105682373047,265.019302368164,9.57,9.42689077439238,9.29315210230925,9.21083381567951,675.6449,494.6442,475.6134,1629.482,149.7032,127.4972,16.37231,21.79622,Star Forming,1
1237648704049447009,204.564104821911,-0.398550148561042,9.380461,0.03553198,4.369456,0.02204254,17.03387,16.15782,15.87231,15.75213,15.62607,7.428146,3.613028,4.547507,2.217679,1.18894725303207,15.73056,352.512130737305,75.6291437149048,9.56,9.0969107913996,9.28887639045934,9.10484908552826,2579.259,729.691,429.4875,2255.224,277.5555,185.7574,70.63134,24.04435,Star Forming,1
1237667912748826741,205.375578840607,24.4811098887846,4.823435,0,2.2762,0.02844259,18.91956,17.56159,16.94083,16.62709,16.40043,4.350752,2.239858,2.2762,1.43233,0.809236110936214,42.77939,93.6609268188477,72.8983688354492,9.39,9.46181563297668,9.5137124346511,9.50955050467746,27.6598,50.43688,64.28929,124.6164,29.41082,25.68503,5.582629,17.37823,Composite,1
1237662301358457183,205.483944496556,50.1117175570242,16.17722,0.05632593,5.180998,0.03723964,19.42599,18.00777,17.50483,17.31176,17.12254,11.04531,5.061581,5.800371,4.778866,1.85579945461296,35.0891,109.422807693481,103.867063522339,9.38,9.10931488353527,9.49816620679485,9.40088460711559,13.68203,11.18691,18.16251,37.80869,14.58107,7.060986,3.389477,4.139992,Composite,0
1237658801507795000,210.316853941886,51.8730006099272,4.361361,0.9529048,3.571229,0.007497065,16.83499,15.3201,14.66569,14.32011,14.08992,8.836898,3.509478,4.32415,0.7172254,0.208461072143026,39.42121,91.3309621810913,71.7009365558624,9.13,9.17269464220358,9.22733667073771,9.25774576129334,166.6225,161.4661,156.0422,271.6854,104.711,68.20554,51.66735,39.0937,Composite,1
1237658205056204926,211.864639041698,47.0899304646373,1.72922,0.4498709,1.202627,0.04299404,19.36112,18.12536,17.52169,17.23227,17.06654,3.157026,1.541764,1.439526,1.369277,0.77013256043732,67.38803,98.3215713500977,78.1757140159607,9.58,9.51618119205019,9.54681938595604,9.4976278900649,55.35192,127.4684,186.6611,377.0471,80.29192,63.05827,10.20784,13.79138,Star Forming,0
1237662303507578912,211.897804834336,50.5452080042368,19.95649,0.02612786,7.851205,0.00679438,17.8277,16.36575,15.6861,15.33873,15.06444,12.28667,5.595858,8.16749,1.227728,0.675354025788802,0,88.0099391937256,69.5992434024811,8.66,8.6474893886646,8.83194687859213,8.84438330266858,29.61008,59.9528,41.55158,89.93166,32.68359,23.15292,13.34974,12.46413,Star Forming,0
1237648720708239499,212.834571435862,-0.497443854095123,4.197906,0.4289048,2.369711,0.02516963,19.95526,18.20339,17.33105,16.84191,16.39903,4.610577,2.105361,3.153833,1.756221,0.986308259790379,71.20045,93.6768770217896,77.0165491104126,9.67,9.75625244415527,9.52616237694019,9.65241651417455,216.7188,149.1781,174.3858,366.8409,114.8634,73.97693,9.461869,13.83143,Composite,1
